,movie_name,release_date,score,genre,budget,revenue,country,release_year
0,Creed Iii,2023-03-02,73.0,"Drama, Action",75000000.0,271616668.0,AU,2023.0
1,Avatar: The Way Of Water,2022-12-15,78.0,"Science Fiction, Adventure, Action",460000000.0,2316794914.0,AU,2022.0
2,The Super Mario Bros. Movie,2023-04-05,76.0,"Animation, Adventure, Family, Fantasy, Comedy",100000000.0,724459031.0,AU,2023.0
3,Mummies,2023-01-05,70.0,"Animation, Comedy, Family, Adventure, Fantasy",12300000.0,34200000.0,AU,2023.0
4,Supercell,2023-03-17,61.0,Action,77000000.0,340941958.6,US,2023.0
5,Cocaine Bear,2023-02-23,66.0,"Thriller, Comedy, Crime",35000000.0,80000000.0,AU,2023.0
6,John Wick: Chapter 4,2023-03-23,80.0,"Action, Thriller, Crime",100000000.0,351349364.0,AU,2023.0
7,Puss In Boots: The Last Wish,2022-12-26,83.0,"Animation, Family, Fantasy, Adventure, Comedy",90000000.0,483480577.0,AU,2022.0
8,Attack On Titan,2022-09-30,59.0,"Action, Science Fiction",71000000.0,254946484.2,US,2022.0
9,The Park,2023-03-02,58.0,"Action, Drama, Horror, Science Fiction, Thriller",119200000.0,488962491.0,US,2023.0
10,Winnie The Pooh: Blood And Honey,2023-02-14,58.0,"Horror, Thriller",100000.0,3200000.0,AU,2023.0
11,The Exorcist,2022-11-02,55.0,Horror,12000000.0,428214478.0,MX,2022.0
12,Murder Mystery 2,2023-03-31,65.0,"Comedy, Mystery, Action",43800000.0,489543087.4,AU,2023.0
13,Black Panther: Wakanda Forever,2022-11-10,73.0,"Action, Adventure, Science Fiction",250000000.0,854041058.0,AU,2022.0
14,The Pope'S Exorcist,2023-04-06,72.0,"Horror, Mystery",92000000.0,462216471.8,AU,2023.0
15,Prizefighter: The Life Of Jem Belcher,2022-07-22,62.0,"Drama, History",77600000.0,562112551.0,GB,2022.0
16,Knock At The Cabin,2023-02-02,64.0,"Thriller, Mystery, Horror, Fantasy",20000000.0,54629497.0,AU,2023.0
17,The Devil Conspiracy,2023-01-13,65.0,"Horror, Thriller",54060000.0,492646395.4,US,2023.0
18,Cazadora,2023-01-19,57.0,Thriller,110400000.0,318117812.6,CL,2023.0
19,Gold Run,2022-12-15,65.0,"War, Action, Adventure, Thriller",123500000.0,420430064.8,NO,2022.0
20,The Magician'S Elephant,2023-03-17,73.0,"Animation, Adventure, Family, Fantasy",82600000.0,473097256.6,AU,2023.0
21,Plane,2023-01-27,69.0,"Action, Adventure, Thriller",25000000.0,51000000.0,GB,2023.0
22,The Passion Of The Christ,2004-02-25,74.0,Drama,25000000.0,622313635.0,AU,2004.0
23,Batman: The Doom That Came To Gotham,2023-03-28,64.0,"Animation, Fantasy, Horror, Action, Mystery",145760000.0,321934831.2,US,2023.0
24,Shazam! Fury Of The Gods,2023-03-16,69.0,"Action, Comedy, Fantasy",125000000.0,132107025.0,AU,2023.0
25,Consecration,2023-02-10,65.0,"Horror, Thriller",54060000.0,492646395.4,US,2023.0
26,Shark Side Of The Moon,2022-08-12,53.0,"Action, Science Fiction, Thriller, Horror",10000.0,17887093.8,US,2022.0
