,movie_name,release_date,score,genre,budget,revenue,country,release_year,continent,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
11,The Exorcist,2022-11-02,55.0,Horror,12000000.0,428214478.0,Mexico,2022.0,North America,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,A Bronx Tale,1994-05-20,78.0,"Drama, Crime",10000000.0,17287898.0,Australia,1994.0,Oceania,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,Avatar,2009-12-17,76.0,"Action, Adventure, Fantasy, Science Fiction",237000000.0,2923706026.0,Australia,2009.0,Oceania,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
75,John Wick,2014-11-26,74.0,"Action, Thriller",30000000.0,75958800.0,Australia,2014.0,Oceania,1.0,0.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0
95,Scream,2022-01-13,67.0,"Horror, Mystery, Thriller",24000000.0,138874789.0,Australia,2022.0,Oceania,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
96,Scream,2022-01-13,67.0,"Horror, Mystery, Thriller",15000000.0,173046640.0,Australia,2022.0,Oceania,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
109,The Ten Commandments,1958-12-12,78.0,"Drama, History",13500000.0,85433929.0,Australia,1958.0,Oceania,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
110,The Ten Commandments,1958-12-12,78.0,"Drama, History",10000000.0,1051907.0,Australia,1958.0,Oceania,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
115,Creed,2015-11-26,74.0,Drama,37000000.0,173567581.0,Australia,2015.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
127,Hacksaw Ridge,2016-10-07,82.0,"Drama, History, War",40000000.0,169023926.0,Australia,2016.0,Oceania,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
132,Life In A Year,2020-11-27,83.0,"Drama, Romance",90000000.0,627851111.8,United States of America,2020.0,North America,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
147,Shrek,2001-06-21,77.0,"Animation, Comedy, Fantasy, Adventure, Family",50000000.0,491812794.0,Australia,2001.0,Oceania,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0
188,The Ledge,2022-02-18,66.0,"Thriller, Adventure",2500000.0,249984799.4,United States of America,2022.0,North America,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Interstellar,2014-11-06,84.0,"Adventure, Drama, Science Fiction",165000000.0,648082655.0,Australia,2014.0,Oceania,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0
196,Coraline,2009-08-06,78.0,"Animation, Family, Fantasy",60000000.0,126037057.0,Australia,2009.0,Oceania,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0
216,The Little Mermaid,2023-05-26,0.0,"Adventure, Family, Fantasy, Romance",205000000.0,178359863.0,United States of America,2023.0,North America,0.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0
218,The Wolf Of Wall Street,2014-01-22,80.0,"Crime, Drama, Comedy",100000000.0,389816136.0,Australia,2014.0,Oceania,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
221,Brothers,2010-03-18,73.0,"Drama, Thriller, War",26000000.0,45043870.0,Australia,2010.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Brothers,2010-03-18,73.0,"Drama, Thriller, War",13000000.0,17856688.0,Australia,2010.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Ben-Hur,1960-05-12,79.0,"Action, Drama, History",95000000.0,91669648.0,Australia,1960.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Ben-Hur,1960-05-12,79.0,"Action, Drama, History",15000000.0,73259017.0,Australia,1960.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Tangled,2011-01-06,76.0,"Animation, Family",260000000.0,583777242.0,Australia,2011.0,Oceania,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
247,Fifty Shades Of Grey,2015-02-12,59.0,"Drama, Romance, Thriller",40000000.0,570794950.0,Australia,2015.0,Oceania,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
249,The Help,2011-09-01,82.0,Drama,25000000.0,213120004.0,Australia,2011.0,Oceania,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
