,mbti,character,movie_name,release_year
0,ESFP,"Peter Quill ""Star-Lord""",Marvel Cinematic Universe,
1,ESFP,Anakin Skywalker,Star Wars,
2,ESFP,Ron Weasley,Harry Potter,
3,ESFP,Bellatrix Lestrange,Harry Potter,
4,ESFP,Simba,The Lion King,1994.0
5,ESFP,Donkey,Shrek,
6,ESFP,"Bob Parr ""Mr. Incredible""",The Incredibles,
7,ESFP,Jack Dawson,Titanic,1997.0
8,ESFP,Aladdin,Aladdin,1992.0
9,ESFP,Marty Mcfly,Back To The Future,
10,ESFP,Jasmine,Aladdin,1992.0
11,ESFP,Marla Singer,Fight Club,1999.0
12,ESFP,Erik Killmonger,Marvel Cinematic Universe,
13,ESFP,Elizabeth Swann,Pirates Of The Caribbean,
14,ESFP,"Sam Wilson ""Falcon""",Marvel Cinematic Universe,
15,ESFP,Chewbacca,Star Wars,
16,ESFP,Jar Jar Binks,Star Wars,
17,ESFP,Gilderoy Lockhart,Harry Potter,
18,ESFP,Miguel Rivera,Coco,2017.0
19,ESFP,"Peregrin ""Pippin"" Took",The Lord Of The Rings,
20,ESFP,Pumbaa,The Lion King,1994.0
21,ESFP,Dudley Dursley,Harry Potter,
22,ESFP,Nemo,Finding Nemo,
23,ESFP,Jessie,Toy Story,
24,ESFP,Prince Naveen,The Princess And The Frog,2009.0
25,ESFP,Tigger,Winnie The Pooh,2011.0
26,ESFP,Jenny,Forrest Gump,1994.0
27,ESFP,Charlotte Labouff,The Princess And The Frog,2009.0
28,ESFP,Rick Dalton,Once Upon A Time In Hollywood,2019.0
29,ESFP,Hulk,Marvel Cinematic Universe,
30,ESFP,Lavender Brown,Harry Potter,
31,ESFP,Caesar Flickerman,The Hunger Games,
32,ESFP,Augustus Gloop,Charlie And The Chocolate Factory,2005.0
33,ESFP,Mater,Cars,
34,ESFP,Dug,Up,2009.0
35,ESFP,Frederico Corleone,The Godfather,
36,ESFP,Peter Kavinsky,To All The Boys I'Ve Loved Before,2018.0
37,ESFP,Clawhauser,Zootopia,2016.0
38,ESFP,Jonathan,Hotel Transylvania,2012.0
39,ESFP,Ed,The Lion King,1994.0
40,ESFP,David Mills,Se7En,1995.0
41,ESFP,Heather Duke,Heathers,1988.0
42,ESFP,Agent J / James Darrell Edwards Iii,Men In Black,
43,ESFP,Gobber,How To Train Your Dragon,
44,ESFP,Crush,Finding Nemo,
45,ESFP,Lumiere,Beauty And The Beast,1991.0
46,ESFP,Scrat,Ice Age,
47,ESFP,Monkey,Kung Fu Panda,
48,ESFP,Ryan Evans,High School Musical,
49,ESFP,"Eddie Brock ""Venom""",The Spider-Man Trilogy,
50,ESFP,"Billy Batson ""Shazam""",Dc Extended Universe,
