,mbti,character,movie_name,release_year,genre,revenue,score,metascore
349,ENFP,Regina,12 Hour Shift,2020.0,"Comedy, Horror, Thriller",,5.3,63.0
347,ESFP,Officer Myers,12 Hour Shift,2020.0,"Comedy, Horror, Thriller",,5.3,63.0
348,ESTP,Jefferson,12 Hour Shift,2020.0,"Comedy, Horror, Thriller",,5.3,63.0
350,INFJ,Mandy,12 Hour Shift,2020.0,"Comedy, Horror, Thriller",,5.3,63.0
352,ENTP,Benjamin Franklin,1776,1972.0,"Drama, Family, History",6104000.0,7.6,
351,ESFP,Richard Henry Lee,1776,1972.0,"Drama, Family, History",6104000.0,7.6,
353,INFJ,Thomas Jefferson,1776,1972.0,"Drama, Family, History",6104000.0,7.6,
354,INTJ,John Adams,1776,1972.0,"Drama, Family, History",6104000.0,7.6,
1504,ENFJ,Laura Wilson,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1505,ENTP,Charlie Frost,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1503,ESFJ,Kate Curtis,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1502,ESFP,Tamara Jikan,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1510,INFJ,"Thomas Wilson , The President Of The United States",2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1509,INFP,Adrian Helmsley,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1511,INTP,Jackson Curtis,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1506,ISFJ,Gordon Silberman,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1508,ISTJ,Carl Anheuser,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1507,ISTP,Yuri Karpov,2012,2009.0,"Short, Drama, Sci-Fi",,4.9,
1193,ENTP,Leche,25 Watts,2001.0,"Comedy, Drama",,7.1,
1192,ESFP,Hernán,25 Watts,2001.0,"Comedy, Drama",,7.1,
1195,INTP,Javi,25 Watts,2001.0,"Comedy, Drama",,7.1,
1194,ISFP,Seba,25 Watts,2001.0,"Comedy, Drama",,7.1,
2495,ENFJ,Sarah,2:22,2008.0,"Crime, Drama, Thriller",,5.2,
2497,INFJ,Dylan Branson,2:22,2008.0,"Crime, Drama, Thriller",,5.2,
2496,ISFP,Jonas,2:22,2008.0,"Crime, Drama, Thriller",,5.2,
309,ESFP,Dolly,3 Generations,2015.0,Drama,66371.0,5.9,47.0
311,INFP,Ray,3 Generations,2015.0,Drama,66371.0,5.9,47.0
310,ISFJ,Maggie,3 Generations,2015.0,Drama,66371.0,5.9,47.0
334,ESFP,Violet,68 Kill,2017.0,"Comedy, Crime, Romance",,6.0,56.0
335,ESTP,Liza,68 Kill,2017.0,"Comedy, Crime, Romance",,6.0,56.0
336,ISFP,Chip,68 Kill,2017.0,"Comedy, Crime, Romance",,6.0,56.0
337,ISTP,Monica,68 Kill,2017.0,"Comedy, Crime, Romance",,6.0,56.0
202,ENTJ,Hopper,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
201,ENTP,Flik,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
197,ESFP,Molt,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
198,ESFP,Tuck,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
199,ESFP,Roll,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
200,ESTP,Francis,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
210,INFJ,The Queen,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
209,INFP,Dot,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
211,INTP,Slim,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
205,ISFJ,Gypsy,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
206,ISFJ,Dr. Flora,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
203,ISFP,Heimlich,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
204,ISFP,Dim,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
207,ISTJ,Princess Atta,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
208,ISTJ,Manny,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
799,INFJ,Bob Cratchit,A Christmas Carol,1938.0,"Drama, Family, Fantasy",,7.5,
798,INFP,Tiny Tim Cratchit,A Christmas Carol,1938.0,"Drama, Family, Fantasy",,7.5,
800,INTJ,Ebenezer Scrooge,A Christmas Carol,1938.0,"Drama, Family, Fantasy",,7.5,
1436,ESFJ,Katy Cooper,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
1435,ESFP,Lola Perez,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
1437,ESTP,Trey Anderson,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
1438,ISFP,Emily Cooper,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
1440,ISTJ,Jenny Parker,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
1439,ISTP,Aj Anderson,Adventures In Babysitting,1989.0,"Comedy, Short",,6.3,
2145,ESTP,Steph Jones,After,2012.0,"Drama, Fantasy, Mystery",,5.5,
2149,ISFJ,Noah,After,2012.0,"Drama, Fantasy, Mystery",,5.5,
2153,ISTP,Hardin Scott,After,2012.0,"Drama, Fantasy, Mystery",,5.5,
2631,INFP,Marcy Franklin,After Hours,2010.0,Comedy,,8.5,
2633,INTP,Paul Hackett,After Hours,2010.0,Comedy,,8.5,
19,ENFP,Genie,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
20,ENFP,Abu,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
21,ENFP,Magic Carpet,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
22,ENTP,Iago,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
15,ESFJ,The Sultan,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
13,ESFP,Aladdin,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
14,ESFP,Jasmine,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
17,ESTJ,Razoul,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
18,ESTJ,Prince Achmed,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
16,ESTP,Gazeem,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
23,INTJ,Jafar,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
24,INTJ,The Cave Of Wonders,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
572,ESTP,Jahkor Abraham Lincoln,All Day And A Night,2020.0,Drama,,5.8,60.0
725,ENFJ,Amber Appleton,All Together Now,2020.0,Drama,,6.5,64.0
726,ENTJ,Joan,All Together Now,2020.0,Drama,,6.5,64.0
1893,ESFJ,Sasha,Always Be My Maybe,2016.0,Romance,,6.8,
1894,ISFP,Marcus,Always Be My Maybe,2016.0,Romance,,6.8,
89,ENTJ,Buddy Kane,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
87,ESFP,Angela Hayes,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
88,ESTJ,Carolyn Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
92,INFP,Lester Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
93,INTP,Ricky Fitts,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
90,ISFP,Jane Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
91,ISTJ,Colonel Frank Fitts,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
188,ENFP,Davina Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
189,ENTJ,Derek Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
187,ESFJ,Doris Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
186,ESFP,Lamont,American History X,1998.0,Drama,6719864.0,8.5,62.0
192,INFJ,Dr. Rob Sweeney,American History X,1998.0,Drama,6719864.0,8.5,62.0
193,INTJ,Cameron Alexander,American History X,1998.0,Drama,6719864.0,8.5,62.0
190,ISFP,Danny Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
191,ISFP,Stacey,American History X,1998.0,Drama,6719864.0,8.5,62.0
1939,ENFP,Charlotte Murchison,Ammonite,2020.0,"Biography, Drama, Romance",,6.8,75.0
1938,ESFJ,Roderick Murchison,Ammonite,2020.0,"Biography, Drama, Romance",,6.8,75.0
1940,INTJ,Mary Anning,Ammonite,2020.0,"Biography, Drama, Romance",,6.8,75.0
761,ENTJ,Krystian Bala,Amok,2017.0,"Crime, Thriller",,5.8,
762,ISTP,Jacek Sokolski,Amok,2017.0,"Crime, Thriller",,5.8,
712,ENFP,Stella Bradshaw,An Awfully Big Adventure,1995.0,"Comedy, Drama, Romance",258195.0,6.0,
713,ENTP,Meredith Potter,An Awfully Big Adventure,1995.0,"Comedy, Drama, Romance",258195.0,6.0,
2574,ISFP,Cecília,Ana E Vitória,2018.0,"Biography, Comedy, Music",,6.6,
638,ENFP,Angel Deverell,Angel,2007.0,"Drama, Romance",,5.8,
637,ESTJ,Hermione,Angel,2007.0,"Drama, Romance",,5.8,
640,ISFJ,Nora Howe-Nevinson,Angel,2007.0,"Drama, Romance",,5.8,
639,ISFP,Esmé,Angel,2007.0,"Drama, Romance",,5.8,
641,ISTJ,Théo,Angel,2007.0,"Drama, Romance",,5.8,
1485,ENFJ,Kit Mambo,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1484,ENFP,Dean Wilson,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1482,ESFP,Bolt Jenkins,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1483,ESTJ,Contessa,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1488,INFP,Brenda Springer,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1489,INFP,Kurt Wüffner,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1486,ISFJ,Tatyana Tushenko,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
1487,ISTP,Rene Fromage,Animalympics,1980.0,"Animation, Comedy, Family",,6.8,
754,ENTJ,Olga,Anna,2019.0,"Short, Drama",,8.3,
755,ENTJ,Lenny Miller,Anna,2019.0,"Short, Drama",,8.3,
2619,INFP,Anna Greene,Anna,2019.0,"Short, Drama",,8.3,
757,INTJ,Anna Poliatova,Anna,2019.0,"Short, Drama",,8.3,
756,ISFP,Anna'S Girfriend,Anna,2019.0,"Short, Drama",,8.3,
