mbti,character,movie_name,release_year,genre,revenue,score,metascore
ESFP,Jack Dawson,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ESTP,Brock Lovett,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ESTP,Fifth Officer Harold Lowe,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ESTJ,"Caledon ""Cal"" Hockley",Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ESTJ,Bruce Ismay,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ENFP,First Officer William Mcmaster Murdoch,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ENTP,Molly Brown,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ISFP,Rose Dewitt Bukater,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ISFJ,Chief Officer Henry Tingle Wilde,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ISTJ,Ruth Dewitt Bukater,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ISTJ,Captain Edward John Smith,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ISTJ,Lovejoy,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
INFJ,Thomas Andrews,Titanic,1997.0,"Drama, Romance",659325379.0,7.8,75.0
ESFP,Aladdin,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESFP,Jasmine,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESFJ,The Sultan,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESTP,Gazeem,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESTJ,Razoul,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESTJ,Prince Achmed,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ENFP,Genie,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ENFP,Abu,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ENFP,Magic Carpet,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ENTP,Iago,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
INTJ,Jafar,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
INTJ,The Cave Of Wonders,Aladdin,1992.0,"Animation, Adventure, Comedy",,6.0,
ESFP,Marla Singer,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ESFJ,Bob Paulson,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ESTJ,The Narrator'S Boss,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ENTP,Tyler Durden,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ISFP,Chloe,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ISFP,Angel Face,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ISFJ,The Narrator,Fight Club,1999.0,Drama,37030102.0,8.8,66.0
ESFP,Miguel Rivera,Coco,2017.0,"Drama, Musical",,5.3,54.0
ESFP,Dante,Coco,2017.0,"Drama, Musical",,5.3,54.0
ESFJ,Mamá Coco,Coco,2017.0,"Drama, Musical",,5.3,54.0
ESTP,Ernesto De La Cruz,Coco,2017.0,"Drama, Musical",,5.3,54.0
